Reaction Date,Reaction Type,Parent Type,Parent ID
"Dec 21, 2023, 3:47:51 PM",Kudos,Activity,10414591037
"Dec 22, 2023, 5:01:39 AM",Kudos,Activity,10417367820
"Dec 22, 2023, 5:01:52 AM",Kudos,Activity,10417598162
"Dec 22, 2023, 5:02:21 AM",Kudos,Activity,10416253567
"Dec 22, 2023, 5:02:30 AM",Kudos,Activity,10416287905
"Dec 22, 2023, 2:33:15 PM",Kudos,Activity,10419443607
"Dec 22, 2023, 2:34:03 PM",Kudos,Activity,10419937368
"Dec 23, 2023, 2:11:32 AM",Kudos,Activity,10421799358
"Dec 23, 2023, 2:12:44 AM",Kudos,Activity,10419972970
"Dec 23, 2023, 2:13:27 AM",Kudos,Activity,10421931407
"Dec 23, 2023, 6:46:34 PM",Kudos,Activity,10425567914
"Dec 23, 2023, 6:46:43 PM",Kudos,Activity,10426111472
"Dec 23, 2023, 6:46:48 PM",Kudos,Activity,10426191760
"Dec 24, 2023, 6:51:39 PM",Kudos,Activity,10430112539
"Dec 24, 2023, 6:51:51 PM",Kudos,Activity,10430930564
"Dec 25, 2023, 1:45:16 AM",Kudos,Activity,10432082255
"Dec 26, 2023, 3:39:57 PM",Kudos,Activity,10436828601
"Dec 26, 2023, 3:40:05 PM",Kudos,Activity,10434460313
"Dec 26, 2023, 3:40:26 PM",Kudos,Activity,10439501531
"Dec 26, 2023, 6:06:33 PM",Kudos,Activity,10440095211
"Dec 26, 2023, 9:26:08 PM",Kudos,Activity,10435100796
"Dec 27, 2023, 5:35:29 AM",Kudos,Activity,10441578581
"Dec 28, 2023, 7:09:19 AM",Kudos,Activity,10445591772
"Dec 28, 2023, 7:09:34 AM",Kudos,Post,26949531
"Dec 28, 2023, 7:09:38 AM",Kudos,Activity,10445898749
"Dec 29, 2023, 4:10:42 PM",Kudos,Activity,10456848623
"Dec 29, 2023, 4:10:45 PM",Kudos,Activity,10451225671
"Dec 29, 2023, 4:10:49 PM",Kudos,Activity,10453949087
"Dec 29, 2023, 4:10:53 PM",Kudos,Activity,10454121310
"Dec 30, 2023, 5:46:14 PM",Kudos,Activity,10458470222
"Dec 30, 2023, 5:55:14 PM",Kudos,Activity,10457519099
"Dec 30, 2023, 5:55:22 PM",Kudos,Activity,10463471321
"Dec 30, 2023, 5:55:32 PM",Kudos,Activity,10458994884
"Dec 30, 2023, 5:55:40 PM",Kudos,Activity,10462659969
"Dec 31, 2023, 1:06:46 AM",Kudos,Activity,10464450881
"Dec 31, 2023, 1:06:50 AM",Kudos,Activity,10463859087
"Dec 31, 2023, 1:06:56 AM",Kudos,Activity,10465197005
"Jan 1, 2024, 5:11:39 PM",Kudos,Activity,10473962468
"Jan 1, 2024, 5:12:16 PM",Kudos,Activity,10474040276
"Jan 1, 2024, 5:12:28 PM",Kudos,Activity,10470203674
"Jan 1, 2024, 5:12:29 PM",Kudos,Activity,10469922645
"Jan 1, 2024, 5:12:40 PM",Kudos,Activity,10474605734
"Jan 1, 2024, 11:03:11 PM",Kudos,Activity,10474939784
"Jan 1, 2024, 11:03:18 PM",Kudos,Activity,10475360222
"Jan 1, 2024, 11:03:56 PM",Kudos,Activity,10470088452
"Jan 3, 2024, 4:54:30 AM",Kudos,Activity,10482735723
"Jan 4, 2024, 12:59:47 AM",Kudos,Activity,10489384608
"Jan 4, 2024, 12:59:50 AM",Kudos,Activity,10489384583
"Jan 4, 2024, 1:00:13 AM",Kudos,Activity,10486602831
"Jan 4, 2024, 10:52:50 PM",Kudos,Activity,10493031520
"Jan 4, 2024, 10:52:53 PM",Kudos,Activity,10489626000
"Jan 5, 2024, 10:11:52 PM",Kudos,Activity,10499493845
"Jan 5, 2024, 10:11:54 PM",Kudos,Activity,10499595383
"Jan 5, 2024, 10:12:05 PM",Kudos,Activity,10498062385
"Jan 5, 2024, 10:12:33 PM",Kudos,Activity,10496353857
"Jan 6, 2024, 5:35:43 PM",Kudos,Activity,10505560657
"Jan 6, 2024, 9:42:24 PM",Kudos,Activity,10506816487
"Jan 6, 2024, 9:42:25 PM",Kudos,Activity,10507668482
"Jan 6, 2024, 9:42:30 PM",Kudos,Activity,10506619589
"Jan 12, 2024, 11:49:57 PM",Kudos,Post,27253250
"Jan 12, 2024, 11:51:07 PM",Kudos,Activity,10543029145
"Jan 18, 2024, 4:49:33 PM",Kudos,Activity,10579681989
"Jan 18, 2024, 4:49:39 PM",Kudos,Activity,10573772236
"Jan 18, 2024, 4:49:48 PM",Kudos,Activity,10572567588
"Jan 23, 2024, 4:25:52 AM",Kudos,Activity,10596048848
"Jan 23, 2024, 4:26:15 AM",Kudos,Activity,10597245335
"Jan 23, 2024, 4:26:53 AM",Kudos,Activity,10599905298
"Jan 26, 2024, 3:35:57 PM",Kudos,Activity,10629168351
"Jan 26, 2024, 3:36:07 PM",Kudos,Activity,10630781493
"Jan 26, 2024, 3:36:47 PM",Kudos,Activity,10623101239
"Jan 27, 2024, 5:57:18 PM",Kudos,Activity,10641684996
"Jan 27, 2024, 5:57:36 PM",Kudos,Activity,10636150843
